id,name,quantity,unit,isAssigned,receipt_id,suggestion_id
191,paprika,86.74,tsp,False,80,
192,potato,334.09,g,True,81,
193,spinach,396.95,g,True,82,
194,apple,61.12,piece,True,82,
195,avocado,396.14,piece,True,82,
196,beef,184.77,g,True,83,
197,butter,306.17,g,True,83,
198,tahini,33.34,tbsp,False,83,
199,chickpeas,499.8,g,False,83,
200,salt,486.2,tsp,True,84,
201,chickpeas,225.26,g,False,84,
202,eggs,64.6,piece,True,84,
203,oats,384.01,g,True,84,
204,basil,76.93,g,True,85,
205,pasta,81.4,g,True,85,
206,yogurt,173.34,g,False,85,
207,bread,423.04,piece,False,85,
208,tahini,63.02,tbsp,False,86,
209,cucumber,307.41,piece,True,86,
210,lentils,86.01,g,False,87,
211,banana,421.34,piece,True,87,
212,cheese,23.21,g,False,88,
213,chickpeas,309.25,g,True,89,
214,salt,249.27,tsp,False,89,
215,chili powder,149.07,tsp,True,90,
216,bell pepper,344.46,piece,True,90,
217,honey,220.08,tsp,False,90,
218,onion,156.63,piece,False,91,
219,lemon,367.23,piece,False,91,
220,corn,487.7,g,True,91,
221,banana,380.45,piece,True,91,
222,bell pepper,134.1,piece,True,92,
223,cumin,70.87,tsp,True,92,
224,yogurt,145.46,g,False,92,
225,bell pepper,360.7,piece,True,93,
226,apple,381.68,piece,False,93,
227,potato,497.99,g,False,93,
228,chickpeas,249.63,g,False,93,
229,beef,228.89,g,True,94,
230,cheese,107.96,g,False,94,
231,honey,24.8,tsp,False,94,
232,basil,247.7,g,False,94,
233,tortilla,215.75,piece,False,95,
234,chicken breast,363.89,g,False,95,
235,milk,183.29,ml,False,95,
236,chickpeas,281.13,g,False,96,
237,eggs,225.45,piece,False,97,
238,flour,412.74,g,True,97,
239,basil,64.77,g,True,97,
240,butter,99.93,g,False,98,
241,lemon,250.29,piece,True,98,
242,tahini,19.94,tbsp,False,98,
243,banana,402.08,piece,False,98,
244,corn,70.32,g,False,99,
245,basil,81.67,g,False,99,
246,basil,354.52,g,False,100,
247,tortilla,237.71,piece,True,100,
248,parsley,184.49,g,True,100,
249,lentils,237.56,g,True,101,
250,spinach,360.84,g,False,101,
251,beef,85.67,g,False,101,
252,corn,74.31,g,True,101,
253,chickpeas,474.13,g,True,102,
254,beef,157.19,g,True,103,
255,paprika,206.77,tsp,True,103,
256,basil,353.03,g,True,104,
257,peas,280.66,g,False,104,
258,chili powder,262.98,tsp,False,104,
259,pasta,478.36,g,False,104,
260,tortilla,305.23,piece,True,105,
261,olive oil,478.69,tbsp,False,105,
262,carrot,279.26,piece,True,105,
263,lettuce,158.86,g,False,106,
264,onion,280.46,piece,False,106,
265,parsley,144.25,g,False,106,
266,olive oil,144.17,tbsp,True,107,
267,banana,173.51,piece,False,107,
268,lettuce,328.16,g,False,107,
269,rice,107.39,g,False,107,
270,oats,370.58,g,True,108,
271,milk,121.61,ml,True,108,
272,peas,319.15,g,True,108,
273,salt,165.48,tsp,False,109,
274,oats,3.09,g,True,110,
275,chili powder,143.06,tsp,True,111,
276,tomato,454.01,piece,True,111,
277,lettuce,326.32,g,True,111,
278,potato,267.81,g,True,111,
279,salt,466.99,tsp,True,112,
280,avocado,498.59,piece,False,112,
281,avocado,149.55,piece,True,113,
282,lettuce,464.26,g,False,113,
283,rice,142.64,g,False,113,
284,chicken breast,444.69,g,True,113,
285,cucumber,81.67,piece,False,114,
286,tomato,324.32,piece,True,114,
287,yogurt,7.54,g,False,114,
288,lemon,395.49,piece,True,114,
289,peas,413.58,g,False,115,
290,honey,43.83,tsp,True,115,
291,oats,162.14,g,True,116,
292,chili powder,3.91,tsp,False,116,
293,paprika,477.04,tsp,False,117,
294,cucumber,291.44,piece,True,117,
295,butter,334.06,g,False,118,
296,bell pepper,153.75,piece,False,118,
297,pasta,343.19,g,False,118,
298,lettuce,184.09,g,True,119,
299,oats,77.02,g,False,120,
300,chili powder,208.21,tsp,False,120,
